province	division	num	id_list	police_station	lat	lng	phone_mobile	phone_office	fax
Western	Panadura	93	LK-1310,LK-1310090,LK-1310150,LK-1310085	Ingiriya	6.7436139	80.1750771	071-8591686	034-2269223	034-2269222
Western	Panadura	94		Moragahahena	6.785840299999999	80.0652212	071-8591687	034-2253253	034-2254524
Western	Panadura	95	LK-1321020,LK-1321075	Moronthuduwa	6.660211899999999	79.9728178	071-8592138	-	038-2295599
Western	Kalutara	96	LK-1321280	Kalutara South	6.584860099999999	79.96104319999999	071-8591691	034-2222226	034-2222223
Western	Kalutara	97	LK-1321240	Kalutara North	6.602049399999999	79.95604159999999	071-8591692	034-2237841	034-2237225
Western	Kalutara	98	LK-1324035	Payagala	6.5411438	79.9748549	071-8591694	034-2222751	034-2222750
Western	Kalutara	99	LK-1327,LK-1327190,LK-1327205,LK-1327170,LK-1327185,LK-1327210,LK-1327160,LK-1327175,LK-1327180,LK-1327165	Dodangoda	6.553374799999999	80.0235692	071-8591695	-	034-2281622
Western	Kalutara	100	LK-1306025,LK-1324405,LK-1324410	Aluthgama	6.4328421	79.9980319	071-8591697	034-2271350	034-2275222
Western	Kalutara	101		Welipanna	6.4674282	80.1083135	071-8591698	-	034-2274423
Western	Kalutara	102	LK-1324	Beruwala	6.4803295	79.98349759999999	071-8591699	034-2279966	034-2276322
Western	Kalutara	103	LK-1330,LK-1330040,LK-1330060,LK-1330045,LK-1330065	Mathugama	6.520880699999999	80.117908	071-8591701	034-2247120	034-2247222
Western	Kalutara	104	LK-1312,LK-1312110,LK-1312115,LK-1312150,LK-1312055,LK-1312105,LK-1312165	Bulathsinhala	6.6504248	80.17703	071-8591702	034-2282292	034-2283122
Western	Kalutara	105	LK-1327055,LK-1327050	Thebuwana	6.654997400000001	80.05818289999999	071-8591703	-	034-2242122
Western	Kalutara	106	LK-1336120	Baduraliya	6.516756099999999	80.22671629999999	071-8591705	-	034-2244422
Western	Kalutara	107	LK-1339040	Meegahathenna	6.436941300000001	80.1942998	071-8591706	-	034-2284022
Western	Kalutara	108	LK-1336215	Thiniyawala	6.410453899999999	80.3286262	071-8591707	-	091-3783119
Western	Kalutara	111	LK-1112310,LK-1112235,LK-1112240,LK-1112230	Mattegoda	6.815277	79.9721359	071-8592207	-	011-2783776
