company_name,symbol,price,issued_quantity,market_cap,gics_type
E-CHANNELLING PLC,ECL.N0000,7.50,122131415.00,915985612.50,Health Care Equipment & Services
UNION CHEMICALS LANKA PLC,UCAR.N0000,600.00,1500000.00,900000000.00,Materials
HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,19.30,46315789.00,893894727.70,Food_ Beverage & Tobacco
ARPICO FINANCE COMPANY PLC,ARPI.N0000,120.00,7437500.00,892500000.00,Diversified Financials
HUNAS FALLS HOTELS PLC,HUNA.N0000,155.10,5625000.00,872437500.00,Consumer Services
CEYLON TEA BROKERS PLC,CTBL.N0000,4.70,182400000.00,857280000.00,Retailing
GUARDIAN CAPITAL PARTNERS PLC,WAPO.N0000,32.50,25833808.00,839598760.00,Diversified Financials
RENUKA CAPITAL PLC,KZOO.N0000,4.70,173798500.00,816852950.00,Diversified Financials
LOTUS HYDRO POWER PLC,HPFL.N0000,7.40,109088112.00,807252028.80,Utilities
PALM GARDEN HOTELS PLC,PALM.N0000,18.00,43267000.00,778806000.00,Consumer Services
MASKELIYA PLANTATIONS PLC,MASK.N0000,14.30,53953489.00,771534892.70,Food_ Beverage & Tobacco
ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,15.00,50000000.00,750000000.00,Consumer Services
SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,73.90,10000380.00,739028082.00,Consumer Durables & Apparel
DOLPHIN HOTELS PLC,STAF.N0000,23.30,31621477.00,736780414.10,Consumer Services
TANGERINE BEACH HOTELS PLC,TANG.N0000,36.30,20000000.00,726000000.00,Consumer Services
MULTI FINANCE PLC,MFL.N0000,11.20,63610181.00,712434027.20,Diversified Financials
ACL PLASTICS PLC,APLA.N0000,163.00,4212500.00,686637500.00,Materials
LAUGFS GAS PLC,LGL.X0000,13.00,52000000.00,676000000.00,Energy
CEYLON HOSPITALS PLC (DURDANS),CHL.X0000,80.00,8345454.00,667636320.00,Health Care Equipment & Services
BERUWALA RESORTS PLC,BERU.N0000,1.10,600000000.00,660000000.00,Consumer Services
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,63.40,10343668.00,655788551.20,Diversified Financials
LAXAPANA BATTERIES PLC,LITE.N0000,16.80,39000000.00,655200000.00,Capital Goods
LANKEM DEVELOPMENTS PLC,LDEV.N0000,5.40,120000000.00,648000000.00,Food_ Beverage & Tobacco
MAHAWELI REACH HOTELS PLC,MRH.N0000,13.60,47066447.00,640103679.20,Consumer Services
UDAPUSSELLAWA PLANTATIONS PLC,UDPL.N0000,31.60,19398850.00,613003660.00,Food_ Beverage & Tobacco
SINHAPUTHRA FINANCE PLC,SFL.N0000,9.70,62958930.00,610701621.00,Diversified Financials
HORANA PLANTATIONS PLC,HOPL.N0000,24.40,25000000.00,610000000.00,Food_ Beverage & Tobacco
SMB LEASING PLC,SEMB.N0000,0.50,1191766772.00,595883386.00,Diversified Financials
LANKA CERAMIC PLC,CERA.N0000,99.00,6000000.00,594000000.00,Capital Goods
KOTAGALA PLANTATIONS PLC,KOTA.N0000,7.80,75225000.00,586755000.00,Food_ Beverage & Tobacco
KELSEY DEVELOPMENTS PLC,KDL.N0000,33.00,17429274.00,575166042.00,Consumer Durables & Apparel
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,78.30,6843044.00,535810345.20,Diversified Financials
SERENDIB LAND PLC,SLND.N0000,1450.00,360000.00,522000000.00,Real Estate
MARAWILA RESORTS PLC,2/29/00,2.10,228000000.00,478800000.00,#N/A
HVA FOODS PLC,HVA.N0000,7.20,66428660.00,478286352.00,Food_ Beverage & Tobacco
SAMSON INTERNATIONAL PLC,SIL.N0000,111.00,4232771.00,469837581.00,Materials
ABANS ELECTRICALS PLC,ABAN.N0000,88.00,5110560.00,449729280.00,Consumer Durables & Apparel
AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,22.40,20000000.00,448000000.00,Diversified Financials
MACKWOODS ENERGY PLC,MEL.N0000,4.40,100000000.00,440000000.00,Capital Goods
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,8.00,53728000.00,429824000.00,Consumer Services
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,61.10,6910041.00,422203505.10,Diversified Financials
LAKE HOUSE PRINTERS AND PUBLISHERS PLC,LPRT.N0000,141.30,2937245.00,415032718.50,Commercial & Professional Services
AMANA TAKAFUL LIFE PLC,ATLL.N0000,8.10,50000000.00,405000000.00,Insurance
SERENDIB HOTELS PLC,SHOT.X0000,10.50,36011056.00,378116088.00,Consumer Services
MULLER AND PHIPPS (CEYLON) PLC,MULL.N0000,1.30,283000000.00,367900000.00,Health Care Equipment & Services
RAMBODA FALLS PLC,RFL.N0000,17.10,20000000.00,342000000.00,Consumer Services
UNISYST ENGINEERING PLC,ALUF.N0000,14.70,22058200.00,324255540.00,Capital Goods
BALANGODA PLANTATIONS PLC,BALA.N0000,13.50,23636363.00,319090900.50,Food_ Beverage & Tobacco
LAUGFS POWER PLC,LPL.X0000,5.80,52000000.00,301600000.00,Utilities
HOTEL SIGIRIYA PLC,HSIG.N0000,51.00,5859000.00,298809000.00,Consumer Services
SERENDIB ENGINEERING GROUP PLC,IDL.N0000,8.20,32383250.00,265542650.00,Capital Goods
